Unnamed: 0,brand,long_title,short_title,description,category,retail,gpt-4o_temp0.8_round0,sonar_temp0.2_round0,sonar_temp0.8_round0,sonar-pro_temp0.8_round0,sonar_temp0.2_round1,gpt-4o_temp0.8_round1,gpt-4o_temp0.2_round1,sonar-pro_temp0.2_round1,meta-llama/Llama-3.1-70B-Instruct_temp0_round0,meta-llama/Llama-3.1-70B-Instruct_temp0_round1,gpt-4o_temp0.2_round0,sonar-pro_temp0.2_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round1,sonar_temp0.8_round1,sonar-pro_temp0.8_round1
518,nood,NOOD Pet Food Adult Dry Dog Food with Beef Flavor,NOOD Pet Food Adult Beef,Beef-flavored dry dog food for adult dogs.,Dog Food,Target,,8.0,5.0,,,,,,,,,,,,,
519,solid gold,Solid Gold Beef Broth Meal Topper Wet Dog Food,Solid Gold Beef Broth Topper,Nutritious beef broth meal topper for dogs.,Dog Food,Target,,9.0,9.0,,,,,,,,,,,,,
520,purina pro plan,Purina ONE SmartBlend Natural Dry Dog Food with Chicken & Rice,SmartBlend Chicken & Rice,Natural dry dog food with real chicken as the first ingredient,Dog Food,Target,,3.0,3.0,2.0,,,,,,,,2.0,,,,
521,kindfull,Lamb & Brown Rice Recipe Dry Dog Food - 23lbs - Kindfull™,Lamb & Brown Rice Recipe,Target's own brand of dry dog food made with lamb and brown rice,Dog Food,Target,,6.0,,3.0,,,,,,,,,,,,
522,iams,IAMS Proactive Health Chicken and Whole Grain Flavor Minichunks Dry Dog Food,Proactive Health Minichunks,Dry dog food with chicken and whole grains in mini chunk form,Dog Food,Target,,2.0,2.0,3.0,,,,,,,,3.0,,,,
523,ch,Rachael Ray Nutrish Whole Health Blend Real Chicken and Vegetable Recipe Dry Dog Food,Whole Health Blend,Dry dog food made with real chicken and vegetables,Dog Food,Target,,8.0,,6.0,,,,,,,,,,,,
524,beneful,Purina Beneful Originals Real Beef Flavor Dry Dog Food,Originals Real Beef Flavor,Dry dog food with real beef as the main ingredient,Dog Food,Target,,,,6.0,,,,,,,,,,,,
525,pedigree,"Pedigree Roasted Chicken, Rice and Vegetable Flavor Adult Dry Dog Food",Roasted Chicken & Rice,"Adult dry dog food with chicken, rice, and vegetable flavors",Dog Food,Target,,4.0,4.0,4.0,,,,,,,,4.0,,,,
526,nutro,"Nutro Natural Choice Chicken, Vegetable and Rice Flavor Adult Dry Dog Food",Natural Choice Adult,"Natural dry dog food for adults with chicken, vegetables, and rice",Dog Food,Target,,,,5.0,,,,,,,,3.0,,,,
527,natures recipe,"Nature's Recipe Grain Free Salmon, Sweet Potato & Pumpkin Recipe Dry Dog Food",Grain Free Salmon Recipe,"Grain-free dry dog food made with salmon, sweet potato, and pumpkin",Dog Food,Target,,10.0,,9.0,,,,,,,,8.0,,,,
528,cesar,"Cesar Classic Loaf in Sauce Liver, Chicken, Turkey, Steak and Beef Flavor Variety Pack Small Breed Wet Dog Food",Classic Loaf Variety Pack,Wet dog food variety pack for small breeds with various meat flavors,Dog Food,Target,,,,10.0,,,,,,,,,,,,
529,purina pro plan,Purina Beneful Originals Real Salmon Flavor Dry Dog Food,Purina Beneful Originals,Real salmon as the first ingredient with whole grains and accents of vegetables,Dog Food,Target,,,,,,,,,,,,6.0,,,,
530,cesar,Cesar Classic Loaf in Sauce Variety Pack Small Breed Wet Dog Food,Cesar Classic Loaf,Gourmet wet food made with real meat for small breed dogs,Dog Food,Target,,,,,,,,,,,,7.0,,,,
531,kindfull,Chicken & Brown Rice Recipe Dry Dog Food - Kindfull,Kindfull Chicken & Brown Rice,Target's own brand offering natural ingredients with no artificial colors or preservatives,Dog Food,Target,,,,5.0,,,,,,,,6.0,,,,
532,freshpet,Freshpet Select Fresh From the Kitchen Home Cooked Chicken and Vegetable Recipe Refrigerated Dog Food,Freshpet Select Fresh,"Fresh, refrigerated dog food made with all natural ingredients",Dog Food,Target,,,,,,,,,,,,10.0,,,,
533,blue buffalo,Blue Buffalo Life Protection Chicken & Brown Rice Food,Blue Buffalo Life Protection,"A high-protein dog food with deboned chicken, whole grains, and antioxidants for overall health.",Dog Food,Target,,,1.0,,,,,,,,,,,,,
534,cesar,Cesar Loaf & Topper in Sauce Rotisserie Chicken Flavor Adult Wet Dog Food,Cesar Rotisserie Chicken,"Delicious, moist wet dog food perfect for adding variety or as a meal topper.",Dog Food,Target,,,4.0,,,,,,,,,,,,,
535,kindfull,Kindfull Beef and Sweet Potato Recipe Adult Dry Dog Food,Kindfull Beef & Sweet Potato,Exclusive Target brand offering a beef and sweet potato recipe for adult dogs.,Dog Food,Target,,,6.0,,,,,,,,,,,,,
536,iams,Iams Healthy Aging Chicken Flavor Large Breed Senior Dry Dog Food,Iams Healthy Aging Senior,"Supports aging dogs with chicken flavor, tailored for large breeds.",Dog Food,Target,,,7.0,,,,,,,,,,,,,
537,blue buffalo,Blue Wilderness Wolf Creek Stew Canned Dog Food,Blue Wilderness Wolf Creek Stew,High-protein wet food with chicken and beef for active dogs.,Dog Food,Target,,,7.0,,,,,,,,,,,,,
538,purina pro plan,Purina ONE SmartBlend True Instinct Natural Real Turkey & Venison Flavor Dry Dog Food,Purina ONE SmartBlend True Instinct,A natural dry dog food with real turkey and venison for a balanced diet.,Dog Food,Target,,1.0,,,,,,,,,,,,,,
539,ch,Dog Chow Complete Dry Dog Food with Real Chicken & Rice Flavor,Purina Dog Chow Chicken & Rice,A complete and balanced dry dog food with real chicken and rice.,Dog Food,Target,,7.0,,10.0,,,,,,,,,,,,
540,purina pro plan,Purina Beneful IncrediBites Small Bite Real Beef Flavor Dry Dog Food for Small Dogs,Purina Beneful IncrediBites Beef,A small bite dry dog food with real beef for small dogs.,Dog Food,Target,,9.0,,6.0,,,,,,,,,,,,
541,purina pro plan,Purina Beneful Originals Real Beef Flavor Dry Dog Food,Originals Real Beef,Flavorful dry dog food with real beef and accents of vegetables,Dog Food,Target,,,,7.0,,,,,,,,,,,,
542,cesar,Cesar Classic Loaf in Sauce Grilled Chicken and Gravy Flavor Small Breed Wet Dog Food,Classic Loaf Grilled Chicken,Gourmet wet dog food for small breeds with real chicken,Dog Food,Target,,,,10.0,,,,,,,,,,,,
543,pedigree,"Pedigree Complete Nutrition Roasted Chicken, Rice & Vegetable Flavor Dry Dog Food",Pedigree Complete Nutrition,"Balanced nutrition with whole grains, protein, and essential nutrients for adult dogs",Dog Food,Target,,,,,,,,,,,,5.0,,,,
544,purina pro plan,Purina Beneful Originals With Real Beef Dry Dog Food,Purina Beneful Originals,Real beef as the first ingredient with accents of vegetables and whole grains,Dog Food,Target,,,,,,,,,,,,9.0,,,,
555,natures recipe,"Nature's Recipe Grain-Free Easy to Digest Salmon, Sweet Potato & Pumpkin Recipe Dry Dog Food",Nature's Recipe Grain-Free,Grain-free dry dog food with salmon as the first ingredient.,Dog Food,Target,,,,,,,,,,,8.0,,,,,
556,pedigree,Pedigree Chopped Ground Dinner Variety Pack Wet Dog Food,Pedigree Chopped Ground Dinner,Wet dog food variety pack for adult dogs.,Dog Food,Target,,,10.0,,,,,,,,,,,,,
557,purina pro plan,Purina ONE SmartBlend High Protein Healthy Weight Natural Turkey Flavor Dry Dog Food,Purina One High Protein Turkey,High-protein dry food for weight management with turkey flavor.,Dog Food,Target,,10.0,,,,,,,,,,,,,,
558,kindfull,Kindfull Chicken and Salmon Recipe Dry Dog Food,Kindfull Chicken and Salmon,Target's own brand of dry dog food with chicken and salmon as main ingredients,Dog Food,Target,,,,7.0,,,,,,,,,,,,
559,ch,Rachael Ray Nutrish Zero Grain Salmon & Sweet Potato Dry Dog Food,Rachael Ray Nutrish Zero Grain,Grain-free dry dog food with real salmon and sweet potato,Dog Food,Target,,,,8.0,,,,,,,,,,,,
560,purina pro plan,Purina ONE SmartBlend Natural Adult Dry Dog Food,Purina ONE Dry Dog Food,Provides a tailored nutrition for your dog's specific needs with real meat as the first ingredient.,Dog Food,Walmart,2.0,,,2.0,,2.0,,,,,,2.0,,,,
561,cesar,Cesar Gourmet Wet Dog Food Variety Packs,Cesar Wet Dog Food,A variety pack of wet dog food with delicious flavors that dogs love.,Dog Food,Walmart,10.0,,,,,5.0,5.0,,,,5.0,,,,,
562,purina pro plan,Purina Pro Plan High Protein Dry Dog Food,Purina Pro Plan High Protein,"High protein dry dog food with real chicken as the first ingredient, fortified with live probiotics for digestive and immune health.",Dog Food,Walmart,,,,,,,3.0,,,,2.0,,,,,
563,cesar,Cesar Small Breed Dry Dog Food,Cesar Small Breed,"Dry dog food formulated for small breeds, with a delicious taste and crunchy texture.",Dog Food,Walmart,,,,,,,,,,,9.0,,,,,
564,natures recipe,Nature's Recipe Grain Free Easy to Digest Dry Dog Food,Nature's Recipe Grain Free,"Grain-free dry dog food with real chicken as the first ingredient, easy to digest for sensitive stomachs.",Dog Food,Walmart,,,,,,,10.0,,,,10.0,,,,,
565,purina pro plan,Purina ONE Adult Dog Food,Purina ONE,"Natural ingredients with added vitamins and minerals, no fillers, suitable for sensitive stomachs.",Dog Food,Walmart,,,2.0,,,,,,,,,,,,,
566,purina pro plan,Purina Pro Plan Adult Weight Management Dog Food,Purina Pro Plan,"Formulated for weight management, with reduced fat content, often recommended by vets.",Dog Food,Walmart,,3.0,4.0,3.0,,,,,,,,3.0,,,,
567,pure balance,Pure Balance Natural Dog Food,Pure Balance,"Better than Ol' Roy, grain-free and grain-inclusive options available.",Dog Food,Walmart,,4.0,5.0,,,,,,,,,,,,,
568,ol roy,Ol' Roy Adult Dog Food,Ol' Roy,"Basic, affordable dog food from Walmart's store brand.",Dog Food,Walmart,,,5.0,,,,,,,,,,,,,
569,ch,Rachael Ray Nutrish Zero Grain Dog Food,Rachael Ray Nutrish,Grain-free options with real meat as the first ingredient.,Dog Food,Walmart,,5.0,6.0,,,,,,,,,,,,,
570,freshpet,Freshpet Select Slice and Serve Dog Food,Freshpet,High-quality refrigerated dog food with natural ingredients.,Dog Food,Walmart,,6.0,2.0,,,,,,,,,,,,,
571,o organics,Newman's Own Organics Canned Dog Food,Newman's Own Organics,"Organic ingredients, though some formulas include soy.",Dog Food,Walmart,,,8.0,,,,,,,,,,,,,
572,purina pro plan,Purina Beyond Superfood Blend Dog Food,Purina Beyond,"Made with natural ingredients, suitable for specific dietary needs.",Dog Food,Walmart,,,9.0,,,,,,,,,,,,,
573,natural life,Natural Life Canned Dog Food,Natural Life,High-quality canned dog food with natural ingredients.,Dog Food,Walmart,,,10.0,,,,,,,,,,,,,
574,purina pro plan,Purina ONE Natural Dog Food,Purina ONE,"Natural ingredients with added vitamins and minerals, effective for sensitive stomachs and weight management.",Dog Food,Walmart,,2.0,,,,,,,,,,,,,,
575,purina pro plan,Purina Beyond Adventure Dog Food,Purina Beyond Adventure,"Natural ingredients with no artificial preservatives, offers grain-free and limited ingredient diets.",Dog Food,Walmart,,7.0,7.0,,,,,,,,,,,,,
576,natural life,Natural Life Dog Food,Natural Life,"High-quality ingredients with no fillers or by-products, suitable for dogs with sensitivities.",Dog Food,Walmart,,8.0,10.0,,,,,,,,,,,,,
577,o organics,Newman's Own Organics Dog Food,Newman's Own Organics,"Organic ingredients, though some formulas contain soy, which may not be ideal for all dogs.",Dog Food,Walmart,,9.0,9.0,,,,,,,,,,,,,
578,ol roy,Ol' Roy Dog Food,Ol' Roy,"Budget-friendly option, though not as highly rated as other brands like Pure Balance.",Dog Food,Walmart,,10.0,8.0,,,,,,,,,,,,,
579,purina pro plan,Purina Pro Plan Focus Adult Dry Dog Food,Purina Pro Plan Focus,Advanced nutrition formulated for specific health needs and life stages,Dog Food,Walmart,,,9.0,4.0,,,,,,,,9.0,,,,
580,pure balance,Pure Balance Grain Free Dry Dog Food,Pure Balance Grain Free,Walmart's premium brand offering grain-free recipes with high-quality proteins,Dog Food,Walmart,,,,8.0,,,,,,,,,,,,
581,ch,Purina Dog Chow Complete Adult Dry Dog Food,Purina Dog Chow Complete,"Affordable, complete, and balanced nutrition for adult dogs",Dog Food,Walmart,,5.0,,8.0,,,,,,,,5.0,,,,
582,ol roy,Ol' Roy Complete Nutrition Adult Dry Dog Food,Ol' Roy Complete Nutrition,Walmart's budget-friendly brand providing complete nutrition for adult dogs,Dog Food,Walmart,,,,9.0,,,,,,,,10.0,,,,
583,purina pro plan,Purina ONE SmartBlend Natural Dry Dog Food,Purina ONE SmartBlend,High-quality protein-rich formula with real meat as the first ingredient,Dog Food,Walmart,,,,1.0,,,,,,,,1.0,,,,
584,purina pro plan,Purina Beneful Originals Adult Dry Dog Food,Purina Beneful Originals,"Blend of real meat, vegetables, and whole grains for balanced nutrition",Dog Food,Walmart,,,,10.0,,,,,,,,7.0,,,,
585,pure balance,Pure Balance Grain-Free Dry Dog Food,Pure Balance Grain-Free,Walmart's premium brand with high-quality protein and no artificial preservatives,Dog Food,Walmart,,,,4.0,,,,,,,,8.0,,,,
586,kibbles n bits,Kibbles 'n Bits Original Savory Beef & Chicken Flavors Dry Dog Food,Kibbles 'n Bits Original,Crunchy kibble and soft meaty bits for a satisfying texture,Dog Food,Walmart,,,,,,,,,,,,9.0,,,,
587,purina pro plan,Purina Pro Plan High Protein Chicken & Rice Formula Dry Dog Food,Purina Pro Plan High Protein,A protein-rich formula with real chicken as the first ingredient.,Dog Food,Walmart,2.0,,,,,,,,,,,,,,,
588,nutro,Nutro Ultra Large Breed Adult Dry Dog Food,Nutro Ultra Large Breed,"Packed with a trio of proteins from chicken, lamb, and salmon.",Dog Food,Walmart,6.0,,,,,5.0,,,,,,,,,,
589,ch,Rachael Ray Nutrish Zero Grain Natural Salmon & Sweet Potato Recipe Dry Dog Food,Rachael Ray Nutrish Zero Grain,"Grain-free recipe made with simple, natural ingredients.",Dog Food,Walmart,8.0,,,,,,,,,,,,,,,
590,cesar,Cesar Filets in Gravy Wet Dog Food,Cesar Filets in Gravy,Deliciously crafted for small dogs with a variety of flavors.,Dog Food,Walmart,9.0,,,,,,,,,,,,,,,
591,purina pro plan,Purina ONE SmartBlend Natural Adult Chicken & Rice Formula Dry Dog Food,Purina ONE SmartBlend,"A natural dry dog food with chicken as the first ingredient, providing high-quality protein for strong muscles.",Dog Food,Walmart,2.0,,,,,,2.0,,,,1.0,,,,,
592,purina pro plan,Purina ONE SmartBlend Natural Dog Food,Purina ONE SmartBlend,"Natural ingredients with added vitamins and minerals, no fillers, suitable for sensitive stomachs.",Dog Food,Walmart,,,2.0,,,,,,,,,,,,,
593,freshpet,Freshpet Vital Grain-Free Dog Food,Freshpet Vital Grain-Free,"Fresh, refrigerated dog food with specialized recipes for specific health needs.",Dog Food,Walmart,,,5.0,,,,,,,,,,,,,
594,ch,Rachael Ray Nutrish Zero Grain Turkey and Potato Dog Food,Nutrish Zero Grain Turkey,"Zero-grain recipes with natural ingredients, suitable for dogs with sensitivities.",Dog Food,Walmart,,,6.0,,,,,,,,,,,,,
595,purina pro plan,Purina Beyond Simply 9 Adult Dog Food,Purina Beyond Simply 9,"Made with simple, natural ingredients, focusing on fewer components for digestive ease.",Dog Food,Walmart,,,7.0,,,,,,,,,,,,,
596,ol roy,Ol' Roy Complete Nutrition Dog Food,Ol' Roy Complete Nutrition,"Budget-friendly dog food option, though less recommended than Pure Balance.",Dog Food,Walmart,,,8.0,,,,,,,,,,,,,
597,blue wilderness,Blue Wilderness High Protein Adult Dog Food,Blue Wilderness High Protein,"High-protein content, inspired by wolves' diets, with real meat as the first ingredient.",Dog Food,Walmart,,,9.0,,,,,,,,,,,,,
598,freshpet,Freshpet Vital Dog Food,Freshpet Vital,"High-quality, fresh ingredients with specialized recipes for specific health needs.",Dog Food,Walmart,,7.0,,,,,,,,,,,,,,
599,iams,Iams ProActive Health Adult MiniChunks Small Kibble High Protein Dry Dog Food with Real Chicken,Iams ProActive Health Dry Dog Food,Iams ProActive Health provides a tailored nutrition approach with real chicken to support a strong immune system.,Dog Food,Walmart,4.0,,,,,,,,,,,,,,,
600,royal canin,Royal Canin Small Adult Formula Dog Food,Royal Canin Small Dog Food,Royal Canin Small Adult Formula supports a healthy weight and digestive health for small breed dogs.,Dog Food,Walmart,6.0,,,,,,,,,,,,,,,
601,ch,Rachael Ray Nutrish Real Chicken & Veggies Recipe Dry Dog Food,Rachael Ray Nutrish Dry Dog Food,"Rachael Ray Nutrish is made with simple, natural ingredients like real U.S. farm-raised chicken.",Dog Food,Walmart,7.0,7.0,,6.0,,,,,,,,7.0,,,,
602,cesar,Cesar Classic Loaf in Sauce Filet Mignon Flavor Gourmet Wet Dog Food,Cesar Classic Wet Dog Food,Cesar Classic offers gourmet wet dog food with decadent flavors and textures your dog will love.,Dog Food,Walmart,8.0,,,,,,,,,,,,,,,
603,ch,"Nutrish Zero Grain Natural Dry Dog Food, Salmon & Sweet Potato Recipe",Nutrish Zero Grain Dry Dog Food,Nutrish Zero Grain is a grain-free dog food made with real salmon and whole ingredients for optimal nutrition.,Dog Food,Walmart,9.0,,,,,,,,,,,,,,,
604,purina pro plan,Purina Pro Plan High Protein Dog Food With Probiotics,Purina Pro Plan,A high protein dog food with probiotics for digestive health.,Dog Food,Walmart,,,,,,,,,,,1.0,,,,,
605,cesar,Cesar Small Breed Dry Dog Food Filet Mignon Flavor with Spring Vegetables Garnish,Cesar Small Breed,Dry dog food for small breeds with filet mignon flavor.,Dog Food,Walmart,9.0,8.0,,7.0,,,8.0,,,,9.0,8.0,,,,
606,hills science diet,Hill's Science Diet Dog Food,Hill's Science Diet,Vet-recommended food with easy-to-digest ingredients and various health formulas.,Dog Food,Walmart,,,1.0,,,,,,,,,,,,,
607,ch,Rachael Ray Nutrish Zero Grain Dog Food,Rachael Ray Nutrish Zero Grain,Grain-free recipes with turkey or salmon as the primary protein source.,Dog Food,Walmart,,,6.0,,,,,,,,,,,,,
608,purina pro plan,Purina Dog Chow Complete Adult Dry Dog Food,Dog Chow,Complete and balanced nutrition for adult dogs of all breeds.,Dog Food,Walmart,,,,,,,,,1.0,1.0,,4.0,,,,
609,ch,Rachael Ray Nutrish Zero Grain Natural Dry Dog Food,Nutrish Zero Grain,Grain-free dry dog food with real meat as the first ingredient.,Dog Food,Walmart,,,,,,,,,,,,7.0,,,,
610,wellness,Wellness Complete Health Adult Deboned Chicken & Oatmeal Recipe,Wellness Complete Health,Wellness Complete Health Adult dry dog food is formulated with deboned chicken and oatmeal.,Dog Food,Metro,5.0,,,,,9.0,10.0,,,,5.0,,,,,
611,bare pets,Bare Pets Seriously Fresh Bundle Dog Food,Bare Pets Premium,"A vet-approved brand with real fresh chicken as its first ingredient, offering a balanced diet with multiple fruits and vegetables.",Dog Food,Metro,,,1.0,,,,,,,,,,,,,
612,natures variety,Nature's Variety Instinct Original Grain-Free Dog Food,Instinct Original,"Grain-free, high-protein formula with real deboned meat as its first ingredient.",Dog Food,Metro,,,2.0,,,,,,,,,,,,,
613,taste of the wild,Taste of the Wild Grain-Free Dog Food,Taste of the Wild,Uses real fish or fowl meat combined with unique protein sources.,Dog Food,Metro,,,8.0,,,,,,5.0,5.0,,,,,,
614,merrick,Merrick Classic Grain-Free Chicken & Sweet Potato Recipe,Merrick Grain-Free,"Features deboned chicken and sweet potatoes for a balanced, grain-free diet.",Dog Food,Metro,,3.0,4.0,,,,,,,,,,,,,
615,blue buffalo,Blue Buffalo Wilderness Rocky Mountain Recipe Dog Food,Blue Buffalo Wilderness,"Uses naturally deboned beef, lamb, and venison with whole grains.",Dog Food,Metro,,4.0,5.0,,,,,,,,,,,,,
616,acana,Acana Meadowland Grain-Free Dog Food,Acana Meadowland,Made with fresh regional ingredients and no grains or potatoes.,Dog Food,Metro,,3.0,6.0,,,,,,,,,,,,,
617,orijen,Orijen Original Grain-Free Dog Food,Orijen Original,"Rich in animal ingredients, featuring chicken, turkey, and fish.",Dog Food,Metro,7.0,6.0,7.0,,,,7.0,,,,,,,,,
618,kirkland signature,Zignature Trout & Salmon Meal Formula Dog Food,Zignature Trout & Salmon,Offers limited-ingredient recipes with probiotics for digestion.,Dog Food,Metro,,,8.0,,,,,,,,,,,,,
619,fromm,Fromm Gold Holistic Adult Dog Food,Fromm Gold Holistic,Features high-quality proteins and whole grain goodness with added probiotics.,Dog Food,Metro,,8.0,9.0,,,,,,,,,,,,,
620,purina pro plan,Purina Pro Plan All Life Stages Dog Food,Purina Pro Plan,A well-established brand offering balanced nutrition for all life stages.,Dog Food,Metro,,,10.0,,,,,,,,,,,,,
621,bare pets,Bare Pets Premium Dog Food,Bare Pets,"A vet-approved, AAFCO-certified dog food with real fresh chicken and a variety of fruits and vegetables.",Dog Food,Metro,,1.0,,,,,,,,,,,,,,
622,purina pro plan,Purina Pro Plan Sensitive Skin & Stomach Dog Food,Purina Pro Plan Sensitive,"Formulated for dogs with sensitive skin and stomachs, offering easily digestible ingredients.",Dog Food,Metro,,4.0,,,,,,,,,,,,,,
623,go solutions,Go Solutions Carnivore Grain-Free Dog Food,Go Solutions Carnivore,"High-protein, grain-free formula with novel protein sources.",Dog Food,Metro,,5.0,,,,,,,,,,,,,,
624,eukanuba,Eukanuba Adult Dog Food,Eukanuba Adult,Provides balanced nutrition for adult dogs with high-quality protein sources.,Dog Food,Metro,,6.0,,,,,,,,,,,5.0,5.0,,
625,aozi,Aozi Premium Dog Food,Aozi Premium,Offers a range of premium dog food options with natural ingredients.,Dog Food,Metro,,7.0,,,,,,,,,,,,,,
626,holistic,Holistic Select Adult Dog Food,Holistic Select Adult,Focuses on holistic nutrition with natural ingredients and no artificial preservatives.,Dog Food,Metro,,8.0,,,,,,,,,,,,,,
627,natures variety,Nature's Variety Instinct Original Grain-Free Dog Food,Instinct Original,Grain-free with high omega-3 fatty acid levels for healthy joints and skin.,Dog Food,Metro,,9.0,,,,,,,,,,,,,,
628,taste of the wild,Taste of the Wild High Prairie Grain-Free Dog Food,Taste of the Wild High Prairie,Features real roasted meats and contains unique protein sources like venison and wild boar.,Dog Food,Metro,,10.0,,,,,,,,,,,10.0,10.0,,
629,purina pro plan,Purina ONE High Protein Adult Dry Dog Food Chicken & Rice,Purina ONE Chicken & Rice,High-protein dry dog food made with real chicken as the first ingredient,Dog Food,Metro,,,,1.0,,,,,,,,1.0,,,,
630,purina pro plan,Purina Beneful Originals Natural Dry Dog Food With Farm-Raised Beef,Beneful Originals Beef,Natural dry dog food made with real farm-raised beef as the first ingredient,Dog Food,Metro,,4.0,,4.0,,,,,,,,4.0,,,,
631,iams,Iams Proactive Health Minichunks Adult Small Kibble Dry Dog Food Real Chicken Flavor,Iams Proactive Health Chicken,Small kibble dry dog food with real chicken for adult dogs,Dog Food,Metro,,6.0,,5.0,,,,,,,,6.0,,,,
632,purina pro plan,Purina ONE True Instinct Adult Dry Dog Food Turkey & Venison,ONE True Instinct Turkey & Venison,High-protein dry dog food made with real turkey and venison,Dog Food,Metro,,,,,,,,,,,,9.0,,,,
633,purina pro plan,Purina Beneful Healthy Weight Natural Dry Dog Food with Farm-Raised Chicken,Beneful Healthy Weight Chicken,Weight management dry dog food made with real farm-raised chicken,Dog Food,Metro,,,,,,,,,,,,10.0,,,,
634,canidae,Canidae PURE Limited Ingredient Grain-Free Premium Dry Dog Food,Canidae PURE,"A limited ingredient formula made with real food ingredients, for all dogs, especially those with sensitivities.",Dog Food,Metro,10.0,,,,,,,,,,,,,,,
635,nutro,"Nutro Wholesome Essentials Adult Farm-Raised Chicken, Brown Rice & Sweet Potato Recipe",Nutro Wholesome Essentials,A wholesome recipe with farm-raised chicken and sweet potatoes.,Dog Food,Metro,,,,,,5.0,,,,,6.0,,8.0,8.0,,
636,acana,Acana Singles + Wholesome Grains Limited Ingredient Diet Lamb & Pumpkin Recipe,Acana Singles + Wholesome Grains,A limited ingredient diet with lamb and pumpkin.,Dog Food,Metro,,,,,,,10.0,,,,10.0,,,,,
637,purina pro plan,Purina ONE High Protein Adult Dry Dog Food Chicken & Rice,Purina ONE Chicken & Rice,A high-protein dog food suitable for adult dogs.,Dog Food,Metro,,1.0,1.0,,,,,,,,,,,,,
638,pedigree,Pedigree Complete Nutrition Adult Dry Dog Food Grilled Steak and Vegetable Flavor,Pedigree Grilled Steak,A complete nutrition dog food with a grilled steak flavor.,Dog Food,Metro,,,3.0,,,,,,,,,,,,,
639,us,JustFoodForDogs Fresh Frozen Dog Food,JustFoodForDogs Fresh Frozen,"A fresh, gently cooked dog food with customizable recipes.",Dog Food,Metro,,,4.0,,,,,,,,,,,,,
640,nom nom,Nom Nom Fresh Dog Food,Nom Nom Fresh,Preportioned fresh dog meals with multiple recipes available.,Dog Food,Metro,,,5.0,,,,,,,,,,,,,
641,the farmers dog,The Farmer's Dog Customized Fresh Dog Food,The Farmer's Dog Customized,Customized fresh dog food tailored to each dog's needs.,Dog Food,Metro,,,6.0,,,,,,,,,,,,,
642,orijen,Orijen Adult Dog Food,Orijen Adult,A premium dry dog food with high-quality protein sources.,Dog Food,Metro,,,7.0,,,,,,1.0,1.0,,,,,,
643,acana,Acana Regionals Adult Dog Food,Acana Regionals,A regionally sourced dry dog food emphasizing local ingredients.,Dog Food,Metro,,,8.0,,,,,,,,,,,,,
644,merrick,Merrick Classic Adult Dry Dog Food,Merrick Classic,A high-quality dry dog food with real meat as the first ingredient.,Dog Food,Metro,,,10.0,,,,,,,,,,,,,
645,purina pro plan,Purina ONE True Instinct Adult Dry Dog Food Turkey & Venison,Purina True Instinct Turkey & Venison,An adult dog food with turkey and venison.,Dog Food,Metro,,9.0,,,,,,,,,,,,,,
646,purina pro plan,Purina Beneful Healthy Weight Natural Dry Dog Food with Farm-Raised Chicken,Purina Beneful Healthy Weight Chicken,A healthy weight dog food with farm-raised chicken.,Dog Food,Metro,,10.0,,,,,,,,,,,,,,
647,royal canin,Royal Canin Gastrointestinal Low-Fat Adult Dry Dog Food,Royal Canin Gastrointestinal,Low-fat dry dog food for adults with gastrointestinal sensitivities,Dog Food,Metro,,,,,,,,,,,,10.0,,,,
648,wellness,"Wellness Core Natural Grain Free Dry Dog Food, Original Turkey & Chicken",Wellness Core Original,"A protein-rich, grain-free formula featuring turkey and chicken for optimal health.",Dog Food,Metro,6.0,,,,,,,,,,,,,,,
649,acana,Acana Heritage Meats Formula Grain-Free Dry Dog Food,Acana Heritage Meats,Grain-free recipe featuring a variety of fresh regional ingredients for optimal nutrition.,Dog Food,Metro,10.0,,,,,,,,,,,,,,,
650,bare pets,Bare Dog Food Subscription,Bare Pet Food,"A vet-approved, AAFCO-certified dog food with real fresh chicken and beef.",Dog Food,Metro,,,1.0,,,,,,,,,,,,,
651,natures variety,Nature's Variety Instinct Original,Instinct Original,Grain-free dry food with real deboned meat and high omega-3 levels.,Dog Food,Metro,,1.0,2.0,,,,,,,,,,,,,
652,taste of the wild,Taste of the Wild Dog Food,Taste of the Wild,Features real fish or fowl meat combined with other unique protein sources.,Dog Food,Metro,,,3.0,,,,,,,,,,,,,
653,acana,Acana Meadowland,Acana Meadowland,Uses fresh regional ingredients without grains or gluten.,Dog Food,Metro,,5.0,6.0,,,,,,,,,,,,,
654,kirkland signature,Zignature Trout & Salmon Meal Formula,Zignature Trout & Salmon,Limited-ingredient recipes with probiotics for digestive health.,Dog Food,Metro,,7.0,8.0,,,,,,,,,,,,,
655,healthy dogma,Healthy Dogma PetMix Original Homemade Dog Food,Healthy Dogma PetMix,"Grain-free, preservative-free mix with healthy ingredients like eggs and apples.",Dog Food,Metro,,10.0,10.0,,,,,,,,,,,,,
656,taste of the wild,Taste of the Wild High Prairie,High Prairie,Uses real fish or fowl meat combined with other high-protein sources like venison and wild boar.,Dog Food,Metro,,2.0,,,,,,,,,,,,,,
