,brand,long_title,short_title,description,category,retail,gpt-4o_temp0.8_round0,sonar_temp0.2_round0,sonar_temp0.8_round0,sonar-pro_temp0.8_round0,sonar_temp0.2_round1,gpt-4o_temp0.8_round1,gpt-4o_temp0.2_round1,sonar-pro_temp0.2_round1,meta-llama/Llama-3.1-70B-Instruct_temp0_round0,meta-llama/Llama-3.1-70B-Instruct_temp0_round1,gpt-4o_temp0.2_round0,sonar-pro_temp0.2_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round1,sonar_temp0.8_round1,sonar-pro_temp0.8_round1
471,Purina Pro Plan,"Purina Pro Plan High Protein Dog Food With Probiotics for Dogs, Shredded Blend Chicken & Rice Formula",Purina Pro Plan Shredded Blend,High-protein dog food with real chicken as the first ingredient and added probiotics for digestive health,Dog Food,Amazon,,,,,,2.0,,,,,,2.0,,,,
472,Blue Buffalo,"Blue Buffalo Life Protection Formula Natural Adult Dry Dog Food, Chicken and Brown Rice",Blue Buffalo Life Protection,"Natural dog food made with real meat, whole grains, garden veggies and fruit",Dog Food,Amazon,3.0,2.0,2.0,2.0,,,3.0,,,,3.0,2.0,,,,
473,Purina ONE,"Purina ONE Natural Dry Dog Food, SmartBlend Chicken & Rice Formula",Purina ONE SmartBlend,"Natural dog food with real chicken as the first ingredient and added vitamins, minerals, and nutrients",Dog Food,Amazon,,,,,,,2.0,,,,,7.0,,,,
474,Taste of the Wild,Taste of the Wild High Prairie Grain-Free Dry Dog Food with Roasted Bison and Venison,Taste of the Wild High Prairie,Grain-free dog food made with real roasted meat and supplemented with fruits and vegetables,Dog Food,Amazon,,,,,,,,,,,,8.0,10.0,10.0,,
475,Nutro,"Nutro Natural Choice Adult Dry Dog Food, Chicken & Brown Rice Recipe",Nutro Natural Choice Adult,Natural dog food made with non-GMO ingredients and real chicken as the first ingredient,Dog Food,Amazon,8.0,,,,,,,,,,,9.0,,,,
476,Wellness,"Wellness Complete Health Natural Dry Dog Food, Chicken & Oatmeal",Wellness Complete Health,All-natural dog food with whole-food ingredients to support whole-body health,Dog Food,Amazon,,,,,,,,,,,,10.0,,,,
477,Purina Pro Plan,Purina Pro Plan High Protein Dog Food With Probiotics,Purina Pro Plan Dog Food,A high-protein formula with real meat as the first ingredient and probiotics for digestive health.,Dog Food,Amazon,2.0,,,,,3.0,,,,,,,,,,
478,Nutro Ultra,Nutro Ultra Adult Dry Dog Food,Nutro Ultra Adult Dog Food,"Made with a trio of proteins from chicken, lamb, and salmon with a blend of 15 vibrant superfoods.",Dog Food,Amazon,6.0,,,,,6.0,7.0,,,,5.0,,,,,
479,CANIDAE,CANIDAE All Life Stages Multi-Protein Formula Dry Dog Food,CANIDAE All Life Stages Dog Food,"A vet-formulated recipe for dogs of all ages, breeds, and sizes with premium ingredients.",Dog Food,Amazon,8.0,,,,,,9.0,,,,10.0,,,,,
480,Rachael Ray Nutrish,Rachael Ray Nutrish Super Premium Dry Dog Food,Rachael Ray Nutrish Dog Food,"Natural dry food with added vitamins and minerals, featuring U.S. farm-raised chicken as the first ingredient.",Dog Food,Amazon,10.0,,,,,10.0,10.0,,,,10.0,,,,,
481,Hill's Science Diet,Hill's Science Diet Adult Large Breed Dry Dog Food,Hill's Science Diet Large Breed,A dry dog food formulated for large breed dogs with high-quality protein to maintain lean muscle.,Dog Food,Amazon,2.0,,,,,4.0,2.0,,,,2.0,,5.0,5.0,,
482,Wellness,Wellness CORE Grain-Free Original Turkey & Chicken Recipe Dry Dog Food,Wellness CORE Grain-Free,"A grain-free, protein-rich dry dog food with turkey and chicken for lean nutrition.",Dog Food,Amazon,8.0,,,,,,6.0,,,,6.0,,3.0,3.0,,
483,Hill's Science Diet,Hill's Science Diet Adult Dog Food with Chicken,Science Diet Adult Chicken,A premium adult dog food with chicken for overall health.,Dog Food,Amazon,,,1.0,,,,,,,,,,,,,
484,Ollie,Ollie Customizable Dog Food Subscription,Ollie Custom Dog Food,"Customizable, human-grade dog food tailored to individual needs.",Dog Food,Amazon,,,3.0,,,,,,,,,,,,,
485,Kirkland Signature,Kirkland Signature Nature's Domain Organic Chicken & Sweet Potato Dog Food,Kirkland Nature's Domain Organic,Organic ingredients with no artificial preservatives.,Dog Food,Amazon,,,5.0,,,,,,,,,,,,,
486,Royal Canin,Royal Canin Size Health Nutrition Small & Medium Adult Dog Food,Royal Canin Small & Medium Adult,Tailored nutrition for small and medium-sized dog breeds.,Dog Food,Amazon,,,6.0,,,,,,,,,,,,,
487,Merrick,Merrick Grain-Free Adult Dog Food with Real Meat,Merrick Grain-Free Adult,Grain-free formula with real meat for optimal nutrition.,Dog Food,Amazon,,,7.0,,,,,,,,,,,,,
488,Taste of the Wild,Taste of the Wild High Prairie Adult Dog Food with Roasted Bison & Venison,Taste of the Wild High Prairie,"Real roasted meats for a wild, natural diet.",Dog Food,Amazon,,,8.0,,,,,,8.0,8.0,,,,,,
489,Wellness,Wellness CORE Grain-Free Adult Dog Food with Turkey & Chicken,Wellness CORE Grain-Free Adult,"Grain-free, high-protein core dog food with turkey and chicken.",Dog Food,Amazon,,,9.0,,,,,,6.0,6.0,,,,,,
490,Nutro,Nutro Ultra Holistic Adult Dog Food with Lamb & Sweet Potato,Nutro Ultra Holistic Adult,Holistic formula with lamb and sweet potato for balanced nutrition.,Dog Food,Amazon,,,10.0,,,,,,,,,,,,,
491,ULTIMATE PET NUTRITION,"ULTIMATE PET NUTRITION Nutra Complete, 100% Freeze Dried Veterinarian Formulated Raw Dog Food with Antioxidants Prebiotics and Amino Acids, (1 Pound, Beef)",ULTIMATE PET NUTRITION Nutra Complete Beef,"Contains 40 ultra-healthy ingredients supporting energy, digestion, coat, and longevity.",Dog Food,Amazon,,3.0,,,,,,,,,,,,,,
492,ZIWI,ZIWI Peak Steam & Dried Dog Food – Grass-fed Lamb with Green Vegetables Recipe,ZIWI Peak Lamb,"Ethically sourced, high-quality ingredients supporting digestive health for all life stages.",Dog Food,Amazon,,5.0,,,,,,,,,,,,,,
493,Hill's Science Diet,Hill's Science Diet Adult Sensitive Stomach & Skin Dog Food,Hill's Science Diet Sensitive,Formulated for adult dogs with sensitive stomachs and skin.,Dog Food,Amazon,3.0,,,,,7.0,,,5.0,5.0,,9.0,,,,
494,Natural Balance,Natural Balance L.I.D. Limited Ingredient Diets Dry Dog Food,Natural Balance L.I.D.,Limited ingredient diet with single animal protein source to support digestive health.,Dog Food,Amazon,8.0,,,,,7.0,,,,,9.0,,,,,
495,Wellness Core,Wellness Core Natural Grain Free Dry Dog Food,Wellness Core Grain Free,"High-protein, grain-free dog food with premium ingredients.",Dog Food,Amazon,7.0,,,,,7.0,,,,,7.0,,,,,
496,Merrick,Merrick Grain Free Texas Beef & Sweet Potato Recipe,Merrick Grain Free,Grain-free dry dog food with real deboned beef.,Dog Food,Amazon,6.0,,,,,10.0,10.0,,,,9.0,,,,,
497,Royal Canin,Royal Canin Size Health Formula Dog Food,Royal Canin,Tailored nutrition for specific breed sizes and life stages,Dog Food,Amazon,,,7.0,,,,,,,,,,,,,
498,Blue Buffalo,Blue Buffalo Life Protection Formula Adult Chicken & Brown Rice Recipe Dry Dog Food,Blue Buffalo Life Protection Dry Dog Food,A high-quality dog food made with real chicken and wholesome grains to support your dog's health.,Dog Food,Target,4.0,,,,,3.0,3.0,,,,3.0,,4.0,4.0,,
499,Iams,Iams Proactive Health Adult Minichunks Chicken & Whole Grains Recipe Dry Dog Food,Iams Proactive Health Dry Dog Food,A nutritious dog food formulated to support strong muscles and promote healthy digestion.,Dog Food,Target,4.0,,,,,,,,,,,,,,,
500,Nutro,Nutro Ultra Adult Weight Management Dry Dog Food,Nutro Ultra Weight Management Dry Dog Food,A weight management formula with a trio of proteins for lean muscle maintenance.,Dog Food,Target,7.0,,,,,,,,,,,,,,,
501,Nature's Recipe,"Nature's Recipe Grain Free Easy to Digest Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food",Nature's Recipe Grain Free Dry Dog Food,Grain-free dog food made with real chicken for easy digestion and balanced nutrition.,Dog Food,Target,8.0,,,,,,9.0,,,,,7.0,,,,
502,Rachael Ray Nutrish,"Rachael Ray Nutrish Natural Beef, Pea & Brown Rice Recipe Dry Dog Food",Rachael Ray Nutrish Natural Dry Dog Food,A natural dog food made with real beef and wholesome grains for balanced nutrition.,Dog Food,Target,9.0,,,,,,,,,,,,,,,
503,Wellness,"Wellness CORE Grain-Free Original Deboned Turkey, Turkey Meal & Chicken Meal Recipe Dry Dog Food",Wellness CORE Grain-Free Dry Dog Food,Grain-free dog food with high protein for lean body mass and muscle tone.,Dog Food,Target,5.0,,,,,10.0,5.0,,,,5.0,,,,,
504,Rachael Ray Nutrish,Rachael Ray Nutrish Natural Chicken & Veggies Recipe Dry Dog Food,Rachael Ray Nutrish Natural,"A natural dry dog food made with simple, wholesome ingredients.",Dog Food,Target,5.0,,,,,7.0,9.0,,,,8.0,8.0,7.0,7.0,,
505,Blue Buffalo,Blue Buffalo Life Protection Dry Food,Blue Buffalo Life Protection,A high-protein dry food with deboned chicken and whole grains.,Dog Food,Target,,1.0,1.0,,,,,,,,,,,,,
506,Iams,Iams Proactive Health Chicken and Whole Grains Flavor,Iams Proactive Health Chicken,A well-balanced dry dog food with chicken and whole grains.,Dog Food,Target,,,2.0,,,,,,,,,,,,,
507,Purina One,Purina One SmartBlend,Purina One SmartBlend,A nutrient-rich dog food with a mix of real meat and high-quality ingredients.,Dog Food,Target,,,3.0,,,,,,,,,,,,,
508,Cesar,Cesar Simply Crafted Chicken and Beef Flavor Variety Pack,Cesar Simply Crafted,A variety pack of wet dog food with chicken and beef flavors.,Dog Food,Target,,,4.0,,,,,,,,,,,,,
509,Kindfull,Kindfull Dog Food,Kindfull Dog Food,"Exclusive to Target, offering a range of dog food options.",Dog Food,Target,,7.0,8.0,,,,,,,,,,,,,
510,Pedigree,Pedigree Adult Complete Nutrition,Pedigree Adult Complete Nutrition,A complete and balanced dog food for adult dogs.,Dog Food,Target,,,6.0,,,,,,,,,,,,,
511,Nutro,Nutro Natural Choice Puppy Recipe,Nutro Puppy Food,A puppy food rich in protein and digestible ingredients.,Dog Food,Target,,6.0,5.0,,,,,,,,,,,,,
512,NOOD,NOOD Pet Food Adult Dry Dog Food with Beef Flavor,NOOD Beef Flavor,A dry dog food made with beef and other wholesome ingredients.,Dog Food,Target,,,9.0,,,,,,,,,,,,,
513,Solid Gold,Solid Gold Beef Broth Meal Topper,Solid Gold Meal Topper,A nutritious broth topper for enhancing regular meals.,Dog Food,Target,,,9.0,,,,,,,,,,,,,
514,Purina,Purina Dog Chow,Purina Dog Chow,"A classic, affordable dog food with a balanced formula.",Dog Food,Target,,,10.0,,,,,,,,,,,,,
515,Iams,Iams Proactive Health Chicken and Whole Grains Flavor Puppy Dry Dog Food,Iams Proactive Health Puppy,Nutritious puppy food with chicken and whole grains for healthy growth.,Dog Food,Target,,3.0,2.0,,,,,,,,,4.0,,,,
516,Blue Buffalo,Blue Wilderness Wolf Creek Stew,Blue Wilderness Wolf Creek Stew,"High-protein wet food with a beef and chicken base, ideal for active dogs.",Dog Food,Target,,3.0,,,,,,,,,,,,,,
517,Cesar,"Cesar Loaf & Topper in Sauce Rotisserie Chicken, Beef Filet Mignon and Cheese Flavor Adult Wet Dog Food",Cesar Loaf & Topper Adult,Flavorful wet dog food with chicken and beef for adult dogs.,Dog Food,Target,,5.0,6.0,,,,,,,,,,,,,
518,NOOD Pet Food,NOOD Pet Food Adult Dry Dog Food with Beef Flavor,NOOD Pet Food Adult Beef,Beef-flavored dry dog food for adult dogs.,Dog Food,Target,,8.0,5.0,,,,,,,,,,,,,
519,Solid Gold,Solid Gold Beef Broth Meal Topper Wet Dog Food,Solid Gold Beef Broth Topper,Nutritious beef broth meal topper for dogs.,Dog Food,Target,,9.0,9.0,,,,,,,,,,,,,
520,Purina ONE,Purina ONE SmartBlend Natural Dry Dog Food with Chicken & Rice,SmartBlend Chicken & Rice,Natural dry dog food with real chicken as the first ingredient,Dog Food,Target,,3.0,3.0,2.0,,,,,,,,2.0,,,,
521,Kindfull,Lamb & Brown Rice Recipe Dry Dog Food - 23lbs - Kindfull™,Lamb & Brown Rice Recipe,Target's own brand of dry dog food made with lamb and brown rice,Dog Food,Target,,6.0,,3.0,,,,,,,,,,,,
522,IAMS,IAMS Proactive Health Chicken and Whole Grain Flavor Minichunks Dry Dog Food,Proactive Health Minichunks,Dry dog food with chicken and whole grains in mini chunk form,Dog Food,Target,,2.0,2.0,3.0,,,,,,,,3.0,,,,
523,Rachael Ray Nutrish,Rachael Ray Nutrish Whole Health Blend Real Chicken and Vegetable Recipe Dry Dog Food,Whole Health Blend,Dry dog food made with real chicken and vegetables,Dog Food,Target,,8.0,,6.0,,,,,,,,,,,,
524,Beneful,Purina Beneful Originals Real Beef Flavor Dry Dog Food,Originals Real Beef Flavor,Dry dog food with real beef as the main ingredient,Dog Food,Target,,,,6.0,,,,,,,,,,,,
525,Pedigree,"Pedigree Roasted Chicken, Rice and Vegetable Flavor Adult Dry Dog Food",Roasted Chicken & Rice,"Adult dry dog food with chicken, rice, and vegetable flavors",Dog Food,Target,,4.0,4.0,4.0,,,,,,,,4.0,,,,
526,Nutro,"Nutro Natural Choice Chicken, Vegetable and Rice Flavor Adult Dry Dog Food",Natural Choice Adult,"Natural dry dog food for adults with chicken, vegetables, and rice",Dog Food,Target,,,,5.0,,,,,,,,3.0,,,,
527,Nature's Recipe,"Nature's Recipe Grain Free Salmon, Sweet Potato & Pumpkin Recipe Dry Dog Food",Grain Free Salmon Recipe,"Grain-free dry dog food made with salmon, sweet potato, and pumpkin",Dog Food,Target,,10.0,,9.0,,,,,,,,8.0,,,,
528,Cesar,"Cesar Classic Loaf in Sauce Liver, Chicken, Turkey, Steak and Beef Flavor Variety Pack Small Breed Wet Dog Food",Classic Loaf Variety Pack,Wet dog food variety pack for small breeds with various meat flavors,Dog Food,Target,,,,10.0,,,,,,,,,,,,
529,Purina Beneful,Purina Beneful Originals Real Salmon Flavor Dry Dog Food,Purina Beneful Originals,Real salmon as the first ingredient with whole grains and accents of vegetables,Dog Food,Target,,,,,,,,,,,,6.0,,,,
530,Cesar,Cesar Classic Loaf in Sauce Variety Pack Small Breed Wet Dog Food,Cesar Classic Loaf,Gourmet wet food made with real meat for small breed dogs,Dog Food,Target,,,,,,,,,,,,7.0,,,,
531,Kindfull,Chicken & Brown Rice Recipe Dry Dog Food - Kindfull,Kindfull Chicken & Brown Rice,Target's own brand offering natural ingredients with no artificial colors or preservatives,Dog Food,Target,,,,5.0,,,,,,,,6.0,,,,
532,Freshpet,Freshpet Select Fresh From the Kitchen Home Cooked Chicken and Vegetable Recipe Refrigerated Dog Food,Freshpet Select Fresh,"Fresh, refrigerated dog food made with all natural ingredients",Dog Food,Target,,,,,,,,,,,,10.0,,,,
533,Blue Buffalo,Blue Buffalo Life Protection Chicken & Brown Rice Food,Blue Buffalo Life Protection,"A high-protein dog food with deboned chicken, whole grains, and antioxidants for overall health.",Dog Food,Target,,,1.0,,,,,,,,,,,,,
534,Cesar,Cesar Loaf & Topper in Sauce Rotisserie Chicken Flavor Adult Wet Dog Food,Cesar Rotisserie Chicken,"Delicious, moist wet dog food perfect for adding variety or as a meal topper.",Dog Food,Target,,,4.0,,,,,,,,,,,,,
535,Kindfull,Kindfull Beef and Sweet Potato Recipe Adult Dry Dog Food,Kindfull Beef & Sweet Potato,Exclusive Target brand offering a beef and sweet potato recipe for adult dogs.,Dog Food,Target,,,6.0,,,,,,,,,,,,,
536,Iams,Iams Healthy Aging Chicken Flavor Large Breed Senior Dry Dog Food,Iams Healthy Aging Senior,"Supports aging dogs with chicken flavor, tailored for large breeds.",Dog Food,Target,,,7.0,,,,,,,,,,,,,
537,Blue Buffalo,Blue Wilderness Wolf Creek Stew Canned Dog Food,Blue Wilderness Wolf Creek Stew,High-protein wet food with chicken and beef for active dogs.,Dog Food,Target,,,7.0,,,,,,,,,,,,,
538,Purina ONE,Purina ONE SmartBlend True Instinct Natural Real Turkey & Venison Flavor Dry Dog Food,Purina ONE SmartBlend True Instinct,A natural dry dog food with real turkey and venison for a balanced diet.,Dog Food,Target,,1.0,,,,,,,,,,,,,,
539,Purina Dog Chow,Dog Chow Complete Dry Dog Food with Real Chicken & Rice Flavor,Purina Dog Chow Chicken & Rice,A complete and balanced dry dog food with real chicken and rice.,Dog Food,Target,,7.0,,10.0,,,,,,,,,,,,
540,Purina Beneful,Purina Beneful IncrediBites Small Bite Real Beef Flavor Dry Dog Food for Small Dogs,Purina Beneful IncrediBites Beef,A small bite dry dog food with real beef for small dogs.,Dog Food,Target,,9.0,,6.0,,,,,,,,,,,,
541,Purina Beneful,Purina Beneful Originals Real Beef Flavor Dry Dog Food,Originals Real Beef,Flavorful dry dog food with real beef and accents of vegetables,Dog Food,Target,,,,7.0,,,,,,,,,,,,
542,Cesar,Cesar Classic Loaf in Sauce Grilled Chicken and Gravy Flavor Small Breed Wet Dog Food,Classic Loaf Grilled Chicken,Gourmet wet dog food for small breeds with real chicken,Dog Food,Target,,,,10.0,,,,,,,,,,,,
543,Pedigree,"Pedigree Complete Nutrition Roasted Chicken, Rice & Vegetable Flavor Dry Dog Food",Pedigree Complete Nutrition,"Balanced nutrition with whole grains, protein, and essential nutrients for adult dogs",Dog Food,Target,,,,,,,,,,,,5.0,,,,
544,Purina Beneful,Purina Beneful Originals With Real Beef Dry Dog Food,Purina Beneful Originals,Real beef as the first ingredient with accents of vegetables and whole grains,Dog Food,Target,,,,,,,,,,,,9.0,,,,
545,Brand A,Brand A Premium Dog Food Chicken Recipe,Brand A Chicken,A high-quality chicken recipe dog food for adult dogs.,Dog Food,Target,1.0,,,,,,,,,,,,,,,
546,Brand B,Brand B Grain-Free Dog Food Lamb and Rice,Brand B Lamb and Rice,"A nutritious, grain-free dog food made with lamb and rice.",Dog Food,Target,2.0,,,,,,,,,,,,,,,
547,Brand C,Brand C Healthy Weight Dog Food Turkey Formula,Brand C Healthy Weight,A low-calorie formula designed to help dogs maintain a healthy weight.,Dog Food,Target,3.0,,,,,,,,,,,,,,,
548,Brand D,Brand D Puppy Formula Dog Food Chicken and Brown Rice,Brand D Puppy Chicken,A specially formulated diet for growing puppies with chicken and brown rice.,Dog Food,Target,4.0,,,,,,,,,,,,,,,
549,Brand E,Brand E Senior Dog Food Beef and Sweet Potato,Brand E Senior,A senior dog food formula with beef and sweet potato for older dogs.,Dog Food,Target,5.0,,,,,,,,,,,,,,,
550,Brand F,Brand F Small Breed Adult Dog Food Salmon and Peas,Brand F Small Breed,A salmon and peas formula designed for small breed adult dogs.,Dog Food,Target,6.0,,,,,,,,,,,,,,,
551,Brand G,Brand G Large Breed Dog Food Chicken and Oats,Brand G Large Breed,A balanced diet for large breed dogs with chicken and oats.,Dog Food,Target,7.0,,,,,,,,,,,,,,,
552,Brand H,Brand H Hypoallergenic Dog Food Duck Formula,Brand H Hypoallergenic,A hypoallergenic diet with duck for dogs with food sensitivities.,Dog Food,Target,8.0,,,,,,,,,,,,,,,
553,Brand I,Brand I Wet Dog Food Beef and Vegetable Stew,Brand I Beef Stew,A delicious beef and vegetable stew for dogs in a wet food format.,Dog Food,Target,9.0,,,,,,,,,,,,,,,
554,Brand J,Brand J Organic Dog Food Chicken and Quinoa,Brand J Organic,An organic dog food made with chicken and quinoa for natural nutrition.,Dog Food,Target,10.0,,,,,,,,,,,,,,,
555,Nature's Recipe,"Nature's Recipe Grain-Free Easy to Digest Salmon, Sweet Potato & Pumpkin Recipe Dry Dog Food",Nature's Recipe Grain-Free,Grain-free dry dog food with salmon as the first ingredient.,Dog Food,Target,,,,,,,,,,,8.0,,,,,
556,Pedigree,Pedigree Chopped Ground Dinner Variety Pack Wet Dog Food,Pedigree Chopped Ground Dinner,Wet dog food variety pack for adult dogs.,Dog Food,Target,,,10.0,,,,,,,,,,,,,
557,Purina One,Purina ONE SmartBlend High Protein Healthy Weight Natural Turkey Flavor Dry Dog Food,Purina One High Protein Turkey,High-protein dry food for weight management with turkey flavor.,Dog Food,Target,,10.0,,,,,,,,,,,,,,
558,Kindfull,Kindfull Chicken and Salmon Recipe Dry Dog Food,Kindfull Chicken and Salmon,Target's own brand of dry dog food with chicken and salmon as main ingredients,Dog Food,Target,,,,7.0,,,,,,,,,,,,
559,Rachael Ray Nutrish,Rachael Ray Nutrish Zero Grain Salmon & Sweet Potato Dry Dog Food,Rachael Ray Nutrish Zero Grain,Grain-free dry dog food with real salmon and sweet potato,Dog Food,Target,,,,8.0,,,,,,,,,,,,
560,Purina ONE,Purina ONE SmartBlend Natural Adult Dry Dog Food,Purina ONE Dry Dog Food,Provides a tailored nutrition for your dog's specific needs with real meat as the first ingredient.,Dog Food,Walmart,2.0,,,2.0,,2.0,,,,,,2.0,,,,
561,Cesar,Cesar Gourmet Wet Dog Food Variety Packs,Cesar Wet Dog Food,A variety pack of wet dog food with delicious flavors that dogs love.,Dog Food,Walmart,10.0,,,,,5.0,5.0,,,,5.0,,,,,
562,Purina Pro Plan,Purina Pro Plan High Protein Dry Dog Food,Purina Pro Plan High Protein,"High protein dry dog food with real chicken as the first ingredient, fortified with live probiotics for digestive and immune health.",Dog Food,Walmart,,,,,,,3.0,,,,2.0,,,,,
563,Cesar,Cesar Small Breed Dry Dog Food,Cesar Small Breed,"Dry dog food formulated for small breeds, with a delicious taste and crunchy texture.",Dog Food,Walmart,,,,,,,,,,,9.0,,,,,
564,Nature's Recipe,Nature's Recipe Grain Free Easy to Digest Dry Dog Food,Nature's Recipe Grain Free,"Grain-free dry dog food with real chicken as the first ingredient, easy to digest for sensitive stomachs.",Dog Food,Walmart,,,,,,,10.0,,,,10.0,,,,,
565,Purina ONE,Purina ONE Adult Dog Food,Purina ONE,"Natural ingredients with added vitamins and minerals, no fillers, suitable for sensitive stomachs.",Dog Food,Walmart,,,2.0,,,,,,,,,,,,,
566,Purina Pro Plan,Purina Pro Plan Adult Weight Management Dog Food,Purina Pro Plan,"Formulated for weight management, with reduced fat content, often recommended by vets.",Dog Food,Walmart,,3.0,4.0,3.0,,,,,,,,3.0,,,,
567,Pure Balance,Pure Balance Natural Dog Food,Pure Balance,"Better than Ol' Roy, grain-free and grain-inclusive options available.",Dog Food,Walmart,,4.0,5.0,,,,,,,,,,,,,
568,Ol' Roy,Ol' Roy Adult Dog Food,Ol' Roy,"Basic, affordable dog food from Walmart's store brand.",Dog Food,Walmart,,,5.0,,,,,,,,,,,,,
569,Rachael Ray Nutrish,Rachael Ray Nutrish Zero Grain Dog Food,Rachael Ray Nutrish,Grain-free options with real meat as the first ingredient.,Dog Food,Walmart,,5.0,6.0,,,,,,,,,,,,,
570,Freshpet,Freshpet Select Slice and Serve Dog Food,Freshpet,High-quality refrigerated dog food with natural ingredients.,Dog Food,Walmart,,6.0,2.0,,,,,,,,,,,,,
571,Newman's Own Organics,Newman's Own Organics Canned Dog Food,Newman's Own Organics,"Organic ingredients, though some formulas include soy.",Dog Food,Walmart,,,8.0,,,,,,,,,,,,,
572,Purina Beyond,Purina Beyond Superfood Blend Dog Food,Purina Beyond,"Made with natural ingredients, suitable for specific dietary needs.",Dog Food,Walmart,,,9.0,,,,,,,,,,,,,
573,Natural Life,Natural Life Canned Dog Food,Natural Life,High-quality canned dog food with natural ingredients.,Dog Food,Walmart,,,10.0,,,,,,,,,,,,,
574,Purina ONE,Purina ONE Natural Dog Food,Purina ONE,"Natural ingredients with added vitamins and minerals, effective for sensitive stomachs and weight management.",Dog Food,Walmart,,2.0,,,,,,,,,,,,,,
575,Purina Beyond,Purina Beyond Adventure Dog Food,Purina Beyond Adventure,"Natural ingredients with no artificial preservatives, offers grain-free and limited ingredient diets.",Dog Food,Walmart,,7.0,7.0,,,,,,,,,,,,,
576,Natural Life,Natural Life Dog Food,Natural Life,"High-quality ingredients with no fillers or by-products, suitable for dogs with sensitivities.",Dog Food,Walmart,,8.0,10.0,,,,,,,,,,,,,
577,Newman's Own Organics,Newman's Own Organics Dog Food,Newman's Own Organics,"Organic ingredients, though some formulas contain soy, which may not be ideal for all dogs.",Dog Food,Walmart,,9.0,9.0,,,,,,,,,,,,,
578,Ol' Roy,Ol' Roy Dog Food,Ol' Roy,"Budget-friendly option, though not as highly rated as other brands like Pure Balance.",Dog Food,Walmart,,10.0,8.0,,,,,,,,,,,,,
579,Purina Pro Plan,Purina Pro Plan Focus Adult Dry Dog Food,Purina Pro Plan Focus,Advanced nutrition formulated for specific health needs and life stages,Dog Food,Walmart,,,9.0,4.0,,,,,,,,9.0,,,,
580,Pure Balance,Pure Balance Grain Free Dry Dog Food,Pure Balance Grain Free,Walmart's premium brand offering grain-free recipes with high-quality proteins,Dog Food,Walmart,,,,8.0,,,,,,,,,,,,
581,Purina Dog Chow,Purina Dog Chow Complete Adult Dry Dog Food,Purina Dog Chow Complete,"Affordable, complete, and balanced nutrition for adult dogs",Dog Food,Walmart,,5.0,,8.0,,,,,,,,5.0,,,,
582,Ol' Roy,Ol' Roy Complete Nutrition Adult Dry Dog Food,Ol' Roy Complete Nutrition,Walmart's budget-friendly brand providing complete nutrition for adult dogs,Dog Food,Walmart,,,,9.0,,,,,,,,10.0,,,,
583,Purina,Purina ONE SmartBlend Natural Dry Dog Food,Purina ONE SmartBlend,High-quality protein-rich formula with real meat as the first ingredient,Dog Food,Walmart,,,,1.0,,,,,,,,1.0,,,,
584,Purina Beneful,Purina Beneful Originals Adult Dry Dog Food,Purina Beneful Originals,"Blend of real meat, vegetables, and whole grains for balanced nutrition",Dog Food,Walmart,,,,10.0,,,,,,,,7.0,,,,
585,Pure Balance,Pure Balance Grain-Free Dry Dog Food,Pure Balance Grain-Free,Walmart's premium brand with high-quality protein and no artificial preservatives,Dog Food,Walmart,,,,4.0,,,,,,,,8.0,,,,
586,Kibbles 'n Bits,Kibbles 'n Bits Original Savory Beef & Chicken Flavors Dry Dog Food,Kibbles 'n Bits Original,Crunchy kibble and soft meaty bits for a satisfying texture,Dog Food,Walmart,,,,,,,,,,,,9.0,,,,
587,Purina Pro Plan,Purina Pro Plan High Protein Chicken & Rice Formula Dry Dog Food,Purina Pro Plan High Protein,A protein-rich formula with real chicken as the first ingredient.,Dog Food,Walmart,2.0,,,,,,,,,,,,,,,
588,Nutro,Nutro Ultra Large Breed Adult Dry Dog Food,Nutro Ultra Large Breed,"Packed with a trio of proteins from chicken, lamb, and salmon.",Dog Food,Walmart,6.0,,,,,5.0,,,,,,,,,,
589,Rachael Ray Nutrish,Rachael Ray Nutrish Zero Grain Natural Salmon & Sweet Potato Recipe Dry Dog Food,Rachael Ray Nutrish Zero Grain,"Grain-free recipe made with simple, natural ingredients.",Dog Food,Walmart,8.0,,,,,,,,,,,,,,,
590,Cesar,Cesar Filets in Gravy Wet Dog Food,Cesar Filets in Gravy,Deliciously crafted for small dogs with a variety of flavors.,Dog Food,Walmart,9.0,,,,,,,,,,,,,,,
591,Purina,Purina ONE SmartBlend Natural Adult Chicken & Rice Formula Dry Dog Food,Purina ONE SmartBlend,"A natural dry dog food with chicken as the first ingredient, providing high-quality protein for strong muscles.",Dog Food,Walmart,2.0,,,,,,2.0,,,,1.0,,,,,
592,Purina ONE,Purina ONE SmartBlend Natural Dog Food,Purina ONE SmartBlend,"Natural ingredients with added vitamins and minerals, no fillers, suitable for sensitive stomachs.",Dog Food,Walmart,,,2.0,,,,,,,,,,,,,
593,Freshpet,Freshpet Vital Grain-Free Dog Food,Freshpet Vital Grain-Free,"Fresh, refrigerated dog food with specialized recipes for specific health needs.",Dog Food,Walmart,,,5.0,,,,,,,,,,,,,
